,docno,relevance_sum
0,ROUND-01-2043895.0-00- LSW+SG+Hetro,3.0
1,ROUND-30-2043895.0-00- LSW+SG+Hetro,3.0
2,ROUND-01-2003322.0-00- LSW+SG+Hetro,3.0
3,ROUND-01-2038466.0-00- LSW+SG+Hetro,3.0
4,ROUND-01-2003157.0-00- LSW+SG+Hetro,3.0
5,ROUND-30-2003157.0-01- LSW+SG+Hetro,3.0
6,ROUND-30-2003157.0-00- LSW+SG+Hetro,3.0
7,ROUND-01-2001975.0-00- LSW+SG+Hetro,3.0
8,ROUND-30-2001975.0-00- LSW+SG+Hetro,3.0
9,ROUND-01-2003976.0-00- LSW+SG+Hetro,3.0
10,ROUND-30-2003976.0-00- LSW+SG+Hetro,3.0
11,ROUND-30-2003976.0-01- LSW+SG+Hetro,2.0
12,ROUND-01-2004253.0-00- LSW+SG+Hetro,3.0
13,ROUND-30-2004253.0-00- LSW+SG+Hetro,3.0
15,ROUND-30-2003322.0-00- LSW+SG+Hetro,3.0
16,ROUND-30-2055634.0-00- LSW+SG+Hetro,2.0
17,ROUND-01-2055634.0-00- LSW+SG+Hetro,3.0
18,ROUND-30-2026558.0-01- LSW+SG+Hetro,2.0
19,ROUND-30-2026558.0-00- LSW+SG+Hetro,3.0
24,ROUND-01-2026558.0-00- LSW+SG+Hetro,3.0
29,ROUND-01-2026558.0-01- LSW+SG+Hetro,3.0
30,ROUND-01-2002269.0-00- LSW+SG+Hetro,3.0
31,ROUND-30-2002269.0-00- LSW+SG+Hetro,3.0
34,ROUND-01-2000719.0-01- LSW+SG+Hetro,3.0
39,ROUND-01-2000719.0-00- LSW+SG+Hetro,3.0
46,ROUND-01-2003322.0-01- LSW+SG+Hetro,3.0
50,ROUND-01-2036968.0-01- LSW+SG+Hetro,3.0
53,ROUND-01-2055211.0-01- LSW+SG+Hetro,3.0
62,ROUND-01-2002269.0-01- LSW+SG+Hetro,2.0
63,ROUND-01-2054355.0-00- LSW+SG+Hetro,3.0
64,ROUND-30-2054355.0-00- LSW+SG+Hetro,3.0
75,ROUND-01-2029260.0-01- LSW+SG+Hetro,0.0
78,ROUND-01-2054355.0-01- LSW+SG+Hetro,3.0
79,ROUND-30-2054355.0-01- LSW+SG+Hetro,3.0
82,ROUND-01-2033470.0-00- LSW+SG+Hetro,1.0
83,ROUND-30-2033470.0-00- LSW+SG+Hetro,3.0
88,ROUND-01-2038466.0-01- LSW+SG+Hetro,3.0
93,ROUND-01-2037251.0-01- LSW+SG+Hetro,0.0
95,ROUND-01-2037251.0-00- LSW+SG+Hetro,1.0
99,ROUND-30-2013306.0-00- LSW+SG+Hetro,3.0
100,ROUND-30-2013306.0-01- LSW+SG+Hetro,3.0
105,ROUND-01-2013306.0-00- LSW+SG+Hetro,3.0
108,ROUND-01-2013306.0-01- LSW+SG+Hetro,0.0
113,ROUND-01-2004253.0-01- LSW+SG+Hetro,0.0
117,ROUND-01-2035447.0-00- LSW+SG+Hetro,3.0
118,ROUND-30-2035447.0-00- LSW+SG+Hetro,3.0
127,ROUND-30-2037251.0-01- LSW+SG+Hetro,3.0
