,docno,relevance_sum
14,ROUND-30-2004253.0-01-LSW+DG+Homo,3.0
20,ROUND-01-2026558.0-00-LSW+DG+Homo,3.0
25,ROUND-30-2026558.0-00-LSW+DG+Homo,3.0
26,ROUND-30-2026558.0-04-LSW+DG+Homo,3.0
27,ROUND-01-2026558.0-04-LSW+DG+Homo,3.0
32,ROUND-01-2000719.0-03-LSW+DG+Homo,3.0
35,ROUND-30-2000719.0-00-LSW+DG+Homo,3.0
36,ROUND-30-2000719.0-03-LSW+DG+Homo,2.0
37,ROUND-01-2000719.0-00-LSW+DG+Homo,3.0
40,ROUND-30-2003322.0-02-LSW+DG+Homo,1.0
41,ROUND-01-2003322.0-00-LSW+DG+Homo,3.0
43,ROUND-30-2003322.0-00-LSW+DG+Homo,2.0
44,ROUND-01-2003322.0-02-LSW+DG+Homo,3.0
47,ROUND-30-2036968.0-01-LSW+DG+Homo,3.0
48,ROUND-01-2036968.0-01-LSW+DG+Homo,3.0
51,ROUND-01-2055211.0-04-LSW+DG+Homo,3.0
54,ROUND-01-2055211.0-00-LSW+DG+Homo,3.0
56,ROUND-30-2040613.0-00-LSW+DG+Homo,1.0
57,ROUND-01-2040613.0-00-LSW+DG+Homo,2.0
59,ROUND-01-2002269.0-02-LSW+DG+Homo,2.0
60,ROUND-30-2002269.0-02-LSW+DG+Homo,2.0
66,ROUND-01-2054355.0-00-LSW+DG+Homo,3.0
68,ROUND-30-2054355.0-00-LSW+DG+Homo,3.0
69,ROUND-01-2029260.0-00-LSW+DG+Homo,3.0
70,ROUND-30-2029260.0-03-LSW+DG+Homo,2.0
72,ROUND-30-2029260.0-00-LSW+DG+Homo,1.0
73,ROUND-01-2029260.0-03-LSW+DG+Homo,0.0
76,ROUND-01-2054355.0-04-LSW+DG+Homo,3.0
81,ROUND-30-2054355.0-04-LSW+DG+Homo,2.0
84,ROUND-01-2038466.0-00-LSW+DG+Homo,3.0
86,ROUND-01-2038466.0-04-LSW+DG+Homo,3.0
89,ROUND-01-2026150.0-00-LSW+DG+Homo,2.0
91,ROUND-01-2037251.0-03-LSW+DG+Homo,0.0
94,ROUND-30-2037251.0-00-LSW+DG+Homo,1.0
96,ROUND-01-2037251.0-00-LSW+DG+Homo,3.0
97,ROUND-30-2037251.0-03-LSW+DG+Homo,2.0
103,ROUND-30-2013306.0-04-LSW+DG+Homo,3.0
104,ROUND-30-2013306.0-00-LSW+DG+Homo,3.0
106,ROUND-01-2013306.0-04-LSW+DG+Homo,0.0
109,ROUND-01-2013306.0-00-LSW+DG+Homo,3.0
111,ROUND-01-2004253.0-01-LSW+DG+Homo,0.0
114,ROUND-01-2035447.0-00-LSW+DG+Homo,3.0
116,ROUND-30-2035447.0-00-LSW+DG+Homo,1.0
120,ROUND-30-2001975.0-00-LSW+DG+Homo,1.0
121,ROUND-01-2001975.0-00-LSW+DG+Homo,3.0
123,ROUND-30-2002269.0-00-LSW+DG+Homo,2.0
124,ROUND-01-2002269.0-00-LSW+DG+Homo,3.0
130,ROUND-30-2003157.0-00-LSW+DG+Homo,3.0
131,ROUND-01-2003157.0-00-LSW+DG+Homo,3.0
135,ROUND-30-2004253.0-00-LSW+DG+Homo,3.0
149,ROUND-30-2055211.0-04-LSW+DG+Homo,3.0
150,ROUND-30-2055211.0-00-LSW+DG+Homo,3.0
151,ROUND-01-2035447.0-03-LSW+DG+Homo,2.0
155,ROUND-30-2035447.0-03-LSW+DG+Homo,3.0
156,ROUND-01-2003157.0-01-LSW+DG+Homo,3.0
164,ROUND-01-2040613.0-01-LSW+DG+Homo,0.0
167,ROUND-30-2040613.0-01-LSW+DG+Homo,1.0
174,ROUND-30-2009871.0-00-LSW+DG+Homo,3.0
175,ROUND-01-2009871.0-01-LSW+DG+Homo,2.0
178,ROUND-30-2009871.0-01-LSW+DG+Homo,3.0
179,ROUND-01-2009871.0-00-LSW+DG+Homo,3.0
181,ROUND-30-2030608.0-04-LSW+DG+Homo,3.0
182,ROUND-01-2030608.0-04-LSW+DG+Homo,3.0
189,ROUND-01-2043895.0-00-LSW+DG+Homo,3.0
191,ROUND-01-2043895.0-01-LSW+DG+Homo,2.0
197,ROUND-30-2032949.0-02-LSW+DG+Homo,2.0
198,ROUND-01-2032949.0-00-LSW+DG+Homo,3.0
202,ROUND-01-2032949.0-02-LSW+DG+Homo,2.0
205,ROUND-30-2032949.0-00-LSW+DG+Homo,3.0
209,ROUND-30-2003157.0-01-LSW+DG+Homo,3.0
214,ROUND-01-2003976.0-03-LSW+DG+Homo,0.0
217,ROUND-30-2003976.0-00-LSW+DG+Homo,1.0
220,ROUND-01-2003976.0-00-LSW+DG+Homo,2.0
221,ROUND-30-2003976.0-03-LSW+DG+Homo,1.0
224,ROUND-01-2038890.0-04-LSW+DG+Homo,3.0
231,ROUND-30-2038890.0-00-LSW+DG+Homo,2.0
232,ROUND-30-2038890.0-04-LSW+DG+Homo,2.0
233,ROUND-01-2038890.0-00-LSW+DG+Homo,3.0
238,ROUND-01-2035009.0-00-LSW+DG+Homo,3.0
240,ROUND-30-2035009.0-00-LSW+DG+Homo,3.0
241,ROUND-30-2035009.0-02-LSW+DG+Homo,2.0
246,ROUND-01-2035009.0-02-LSW+DG+Homo,3.0
249,ROUND-01-2055634.0-00-LSW+DG+Homo,2.0
251,ROUND-01-2055634.0-03-LSW+DG+Homo,0.0
258,ROUND-01-2006375.0-00-LSW+DG+Homo,3.0
260,ROUND-30-2006375.0-03-LSW+DG+Homo,2.0
261,ROUND-30-2006375.0-00-LSW+DG+Homo,3.0
263,ROUND-01-2006375.0-03-LSW+DG+Homo,2.0
270,ROUND-01-2046371.0-04-LSW+DG+Homo,3.0
273,ROUND-30-2046371.0-04-LSW+DG+Homo,2.0
274,ROUND-30-2046371.0-00-LSW+DG+Homo,3.0
275,ROUND-01-2046371.0-00-LSW+DG+Homo,3.0
279,ROUND-30-2055634.0-03-LSW+DG+Homo,1.0
280,ROUND-30-2055634.0-00-LSW+DG+Homo,0.0
281,ROUND-30-2043895.0-00-LSW+DG+Homo,3.0
282,ROUND-30-2043895.0-01-LSW+DG+Homo,3.0
287,ROUND-01-2049687.0-02-LSW+DG+Homo,0.0
290,ROUND-30-2049687.0-00-LSW+DG+Homo,3.0
291,ROUND-01-2049687.0-00-LSW+DG+Homo,3.0
292,ROUND-30-2049687.0-02-LSW+DG+Homo,2.0
294,ROUND-01-2004253.0-00-LSW+DG+Homo,0.0
301,ROUND-30-2038466.0-04-LSW+DG+Homo,2.0
302,ROUND-30-2038466.0-00-LSW+DG+Homo,3.0
310,ROUND-01-2001975.0-03-LSW+DG+Homo,2.0
313,ROUND-30-2001975.0-03-LSW+DG+Homo,3.0
320,ROUND-01-2037609.0-02-LSW+DG+Homo,1.0
323,ROUND-01-2026150.0-02-LSW+DG+Homo,3.0
330,ROUND-30-2026150.0-02-LSW+DG+Homo,3.0
331,ROUND-30-2026150.0-00-LSW+DG+Homo,3.0
332,ROUND-01-2037609.0-00-LSW+DG+Homo,3.0
339,ROUND-30-2037609.0-02-LSW+DG+Homo,2.0
340,ROUND-30-2037609.0-00-LSW+DG+Homo,3.0
341,ROUND-01-2033470.0-01-LSW+DG+Homo,1.0
344,ROUND-30-2033470.0-01-LSW+DG+Homo,3.0
345,ROUND-01-2033470.0-00-LSW+DG+Homo,2.0
347,ROUND-30-2033470.0-00-LSW+DG+Homo,0.0
349,ROUND-30-2030608.0-00-LSW+DG+Homo,1.0
350,ROUND-01-2030608.0-00-LSW+DG+Homo,3.0
357,ROUND-30-2036968.0-00-LSW+DG+Homo,3.0
358,ROUND-01-2036968.0-00-LSW+DG+Homo,3.0
